Address,Segments,Content Type,Status Code,Status,Indexability,Indexability Status,Canonical Link Element 1,Redirect URL,Redirect Type,Meta Robots 1,X-Robots-Tag 1,Language,Crawl Timestamp,Last Modified,Size (Bytes),Word Count,Inlinks,Unique Inlinks,Outlinks,Unique Outlinks,Response Time
https://reviews-microsite.example.net/s2/p08/p01/,s2/p08/p01,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p08/p01/,"","","","",en-us,2026-07-06 10:31:36,"",53674,1485,65,62,60,42,0.205
https://reviews-microsite.example.net/s2/p03/p02/,s2/p03/p02,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p03/p02/,"","","","",en-us,2026-07-06 10:31:36,"",33869,1214,5,5,53,45,0.188
https://reviews-microsite.example.net/s1/p01/p01.woff2,s1/p01/p01.woff2,font/woff2,200,"",Indexable,"","","","","","","",2026-07-06 10:31:36,"",8768,0,0,0,0,0,0.069
https://reviews-microsite.example.net/s2/p08/p05/,s2/p08/p05,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p08/p05/,"","","","",en-us,2026-07-06 10:31:43,"",56336,1728,67,62,56,42,0.286
https://reviews-microsite.example.net/s2/p01/p05/,s2/p01/p05,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p01/p05/,"","","","",en-us,2026-07-06 10:31:43,"",34994,1271,131,62,58,42,0.296
https://reviews-microsite.example.net/s2/p06/p05/,s2/p06/p05,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p06/p05/,"","","","",en-us,2026-07-06 10:31:43,"",56513,1872,80,62,57,42,0.283
https://reviews-microsite.example.net/s2/p12/p02/,s2/p12/p02,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p12/p02/,"","","","",en-us,2026-07-06 10:31:50,"",29093,498,4,4,56,48,0.305
https://reviews-microsite.example.net/s2/p01/,s2/p01,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p01/,"","","","",en-us,2026-07-06 10:31:50,"",29939,671,135,62,56,43,0.209
https://reviews-microsite.example.net/s2/p05/,s2/p05,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p05/,"","","","",en-us,2026-07-06 10:31:57,"",31079,547,6,6,51,43,0.283
https://reviews-microsite.example.net/s2/p02/,s2/p02,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p02/,"","","","",en-us,2026-07-06 10:31:57,"",53271,996,79,62,57,42,0.217
https://reviews-microsite.example.net/s2/p07/p05/,s2/p07/p05,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p07/p05/,"","","","",en-us,2026-07-06 10:31:57,"",54964,1374,68,62,62,42,0.204
https://reviews-microsite.example.net/s2/p01/p02/,s2/p01/p02,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p01/p02/,"","","","",en-us,2026-07-06 10:32:03,"",31155,485,127,62,53,42,0.244
https://reviews-microsite.example.net/s2/p01/p04/,s2/p01/p04,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p01/p04/,"","","","",en-us,2026-07-06 10:32:03,"",43504,1250,66,62,58,42,0.410
https://reviews-microsite.example.net/s2/p03/,s2/p03,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p03/,"","","","",en-us,2026-07-06 10:32:10,"",32601,925,8,6,54,45,0.187
https://reviews-microsite.example.net/s2/p07/p04/,s2/p07/p04,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p07/p04/,"","","","",en-us,2026-07-06 10:32:10,"",54337,1280,70,62,56,42,0.285
https://reviews-microsite.example.net/s2/p02/p08/,s2/p02/p08,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p02/p08/,"","","","",en-us,2026-07-06 10:32:10,"",63995,2559,70,62,55,42,0.202
https://reviews-microsite.example.net/s1/p03/p14.webp,s1/p03/p14.webp,image/webp,200,OK,Indexable,"","","","","","","",2026-07-06 10:32:42,"",0,0,0,0,0,0,0.231
https://reviews-microsite.example.net/s1/p03/p01.webp,s1/p03/p01.webp,image/webp,200,OK,Indexable,"","","","","","","",2026-07-06 10:32:42,"",0,0,0,0,0,0,0.220
https://reviews-microsite.example.net/s2/p12/,s2/p12,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p12/,"","","","",en-us,2026-07-06 10:32:42,"",28338,364,4,4,57,47,0.252
https://reviews-microsite.example.net/s2/p01/p06/p01/,s2/p01/p06/p01,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p01/p06/p01/,"","","","",en-us,2026-07-06 10:33:02,"",31836,915,3,3,53,43,0.230
https://reviews-microsite.example.net/s2/p01/p06/p02/,s2/p01/p06/p02,text/html; charset=utf-8,200,"",Non-Indexable,Canonicalised,https://reviews-microsite.example.com/s2/p01/p06/p02/,"","","","",en-us,2026-07-06 10:33:02,"",31805,899,4,4,53,43,0.227
